subj,trial,block,date,stim,stim_order,response,rt,param_index,segment_time,pitch
Auregan,15,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_43.wav,0,False,3235,2,0.142086,-14.528706
Auregan,15,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_43.wav,0,False,3235,3,0.213129,53.076799
Auregan,15,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_43.wav,0,False,3235,4,0.284172,-30.290069
Auregan,15,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_43.wav,0,False,3235,5,0.355215,134.741064
Auregan,15,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_43.wav,0,False,3235,6,0.426259,54.746527
Auregan,15,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_55.wav,1,True,3235,0,0.0,41.960803
Auregan,15,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_55.wav,1,True,3235,1,0.071043,-15.216637
Auregan,15,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_55.wav,1,True,3235,2,0.142086,-141.495937
Auregan,15,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_55.wav,1,True,3235,3,0.213129,-73.120481
Auregan,15,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_55.wav,1,True,3235,4,0.284172,-46.277227
Auregan,15,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_55.wav,1,True,3235,5,0.355215,60.235867
Auregan,15,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_55.wav,1,True,3235,6,0.426259,0.915299
Auregan,16,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_29.wav,0,True,5401,0,0.0,78.626852
Auregan,16,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_29.wav,0,True,5401,1,0.071043,124.163952
